     0.000     0.182    13.167     12868267.500     0.000     0.000  2750.000      00********
     0.000    -0.772    39.087     38604802.500     0.000     0.000  2750.000      00********
     0.000    -1.249    51.786     51473070.000     0.000     0.000  2750.000      00********
     0.000    -1.933    69.741     69925680.000     0.000     0.000  2750.000      00********
     0.000    -2.203    76.730     77209605.000     0.000     0.000  2750.000      00********
     0.000    -2.680    88.959     90077872.500     0.000     0.000  2750.000      00********
     0.000    -3.157   101.031    102946140.000     0.000     0.000  2750.000      00********
     0.000    -3.634   112.946    115814407.500     0.000     0.000  2750.000      00********
     0.000    -4.588   136.353    141550942.500     0.000     0.000  2750.000      00********
     0.000    -5.065   147.794    154419210.000     0.000     0.000  2750.000      00********
     0.000    -5.542   159.077    167287477.500     0.000     0.000  2750.000      00********
     0.000    -6.019   170.201    180155745.000     0.000     0.000  2750.000      00********
     0.000    -7.054   193.860    208077457.500     0.000     0.000  2750.000      00********
     0.000    -7.927   213.238    231628815.000     0.000     0.000  2750.000      00********
     0.000    -8.881   233.802    257365350.000     0.000     0.000  2750.000      00********
     0.000    -9.834   253.716    283074907.500     0.000     0.000  2750.000      00********
     0.000   -10.856   274.385    310645912.500     0.000     0.000  2750.000      00********
     0.000   -11.742   294.325    335417143.500     0.000     0.000  2850.000      00********
     0.000   -12.696   315.592    362089552.500     0.000     0.000  2850.000      00********
     0.000   -13.650   336.642    388761961.500     0.000     0.000  2850.000      00********
     0.000   -15.558   378.158    442106779.500     0.000     0.000  2850.000      00********
     0.000   -17.466   418.803    495451597.500     0.000     0.000  2850.000      00********
     0.000   -19.374   458.581    548796415.500     0.000     0.000  2850.000      00********
     0.000   -21.000   491.785    594256936.500     0.000     0.000  2850.000      00********
     0.000   -23.190   538.002    657634441.500     0.000     0.000  2950.000      00********
     0.000   -25.911   594.786    736378821.000     0.000     0.000  2950.000      00********
     0.000   -27.006   617.432    768067573.500     0.000     0.000  2950.000      00********
     0.000   -28.913   656.560    823255200.000     0.000     0.000  2950.000      00********
     0.000   -30.821   695.348    878471766.000     0.000     0.000  2950.000      00********
     0.000   -32.006   719.238    912765073.500     0.000     0.000  2950.000      00********
     0.000   -34.637   744.339    997950321.459     7.946     4.536  3299.973      96    8545
     0.000   -37.499   771.267   1090590048.964     7.941     4.528  3298.900      96    9150
     0.000   -40.361   797.955   1183214574.771     7.939     4.521  3298.527      96   10055
     0.000   -43.223   824.460   1275835947.402     7.949     4.518  3298.973      96   10961
     0.000   -46.085   850.511   1368568861.950     7.956     4.517  3306.772      96   11566
     0.000   -48.946   876.185   1461393748.794     7.965     4.515  3307.350      96   12471
     0.000   -51.808   901.537   1554256430.237     7.957     4.506  3307.468      96   13075
     0.000   -54.670   926.584   1647123681.461     7.963     4.502  3307.698      96   13980
     0.000   -57.532   951.286   1739991488.010     7.955     4.493  3307.475      96   14585
     0.000   -60.394   975.715   1832858850.848     7.958     4.488  3307.618      96   15490
     0.000   -63.256   999.880   1925748735.784     7.964     4.485  3308.992      96   16094
     0.000   -66.118  1023.789   2018674959.238     7.965     4.478  3309.754      96   16999
     0.000   -70.887  1063.126   2173535493.188     7.959     4.465  3310.066      96   18207
     0.000   -75.657  1101.676   2328467175.223     7.963     4.458  3311.130      96   19714
     0.000   -80.427  1139.356   2483408201.282     7.954     4.444  3311.150      96   20921
     0.000   -85.197  1175.969   2638391318.678     7.953     4.432  3312.579      96   22128
     0.000   -89.966  1211.165   2793394307.813     7.948     4.420  3313.322      96   23335
     0.000   -94.736  1244.564   2948485123.131     7.949     4.409  3314.733      96   24842
     0.000   -99.506  1275.728   3103623783.098     7.942     4.397  3315.970      96   26048
     0.000  -104.276  1303.911   3258835262.913     7.944     4.388  3317.668      96   27253
     0.000  -107.413  1320.000   3360966505.976     7.948     4.385  3319.449      96   28156
     0.000  -113.815  1332.804   3569478119.921     8.002     4.407  3322.868      99   28928
     0.000  -118.585  1342.344   3725061408.176     8.015     4.412  3326.849      99   30130
     0.000  -123.355  1351.884   3880832365.871     8.026     4.412  3330.744      99   31333
     0.000  -128.124  1361.422   4036764625.505     8.042     4.416  3334.992      99   32836
     0.000  -132.894  1370.962   4192909989.491     8.049     4.416  3338.752      99   34039
     0.000  -137.664  1380.502   4349230028.350     8.064     4.421  3342.359      99   35241
     0.000  -142.434  1390.042   4505737248.028     8.077     4.423  3346.497      99   36744
     0.000  -147.203  1399.580   4662389541.815     8.083     4.424  3350.299      99   37947
     0.000  -151.973  1402.166   4819271763.768     8.100     4.430  3354.776      99   39148
     0.000  -156.743  1404.433   4976377180.902     8.124     4.441  3359.687      99   40648
     0.000  -161.513  1406.699   5133694669.802     8.132     4.445  3364.107      99   41849
     0.000  -166.282  1408.964   5291189385.760     8.148     4.450  3368.514      99   43050
     0.000  -171.052  1411.231   5448935831.482     8.170     4.461  3373.305      99   44550
     0.000  -175.822  1413.497   5606889717.383     8.179     4.462  3377.635      99   45751
     0.000  -180.592  1415.763   5765059878.847     8.198     4.471  3382.385      99   47252
     0.000  -185.361  1418.028   5923403224.299     8.211     4.478  3386.705      99   48452
     0.000  -190.131  1420.295   6081985559.301     8.225     4.482  3391.019      99   49653
     0.000  -194.901  1422.561   6240782570.782     8.242     4.490  3395.716      99   51154
     0.000  -199.671  1424.827   6399784072.173     8.255     4.496  3399.997      99   52354
     0.000  -204.440  1427.093   6558964150.870     8.270     4.501  3404.619      99   53855
     0.000  -209.210  1429.359   6718381934.579     8.280     4.505  3408.946      99   55056
     0.000  -213.980  1431.625   6878014232.504     8.300     4.514  3413.625      99   56556
     0.000  -218.750  1433.891   7037850980.599     8.309     4.517  3417.898      99   57757
     0.000  -228.289  1438.423   7358117453.416     8.338     4.530  3426.850      99   60458
     0.000  -237.829  1442.955   7679258663.850     8.363     4.539  3435.910      99   63160
     0.000  -247.368  1447.487   8001214812.021     8.390     4.551  3445.017      99   65861
     0.000  -256.908  1452.019   8324064987.429     8.416     4.562  3454.311      99   68562
     0.000  -266.447  1456.551   8647757216.450     8.438     4.569  3463.748      99   71264
     0.000  -275.987  1461.083   8972370998.853     8.464     4.581  3473.283      99   73965
     0.000  -285.526  1465.615   9297871777.296     8.487     4.592  3483.418      99   76666
     0.000  -290.296  1467.881   9460993477.321     8.496     4.595  3488.423      99   77867
     0.000  -295.066  1470.148   9624363959.817     8.510     4.601  3493.867      99   79368
     0.000  -299.835  1472.413   9787947171.541     8.520     4.606  3499.154      99   80568
     0.000  -304.605  1474.679   9951832559.915     8.532     4.611  3505.143      99   82069
     0.000  -314.145  1479.212  10280601745.260     8.525     4.630  3520.791      99   84770
     0.000  -323.684  1483.744  10610553030.314     8.552     4.638  3530.860      99   87471
     0.000  -333.224  1488.276  10941502357.951     8.581     4.646  3541.462      99   90473
     0.000  -342.763  1492.808  11273399437.855     8.606     4.655  3552.043      99   93174
     0.000  -352.303  1497.340  11606325620.114     8.634     4.663  3562.643      99   95875
     0.000  -361.842  1501.872  11940101640.701     8.657     4.672  3570.809      99   98577
     0.000  -371.382  1506.404  12274685451.139     8.686     4.685  3579.134      99  101578
     0.000  -380.921  1510.936  12609995154.287     8.707     4.695  3587.278      99  104279
     0.000  -390.461  1515.468  12946106825.597     8.731     4.705  3595.436      99  106981
     0.000  -400.000  1520.000  13282964154.520     8.759     4.719  3603.863      99  109982
     5.000     0.179    13.207     12868267.500     0.000     0.000  2750.000      00  109982
     5.000    -0.775    39.141     38604802.500     0.000     0.000  2750.000      00  109982
     5.000    -1.252    51.867     51473070.000     0.000     0.000  2750.000      00  109982
     5.000    -1.879    68.349     68387962.500     0.000     0.000  2750.000      00  109982
     5.000    -2.206    76.839     77209605.000     0.000     0.000  2750.000      00  109982
     5.000    -2.683    89.088     90077872.500     0.000     0.000  2750.000      00  109982
     5.000    -3.160   101.178    102946140.000     0.000     0.000  2750.000      00  109982
     5.000    -3.637   113.109    115814407.500     0.000     0.000  2750.000      00  109982
     5.000    -4.591   136.496    141550942.500     0.000     0.000  2750.000      00  109982
     5.000    -5.068   147.952    154419210.000     0.000     0.000  2750.000      00  109982
     5.000    -5.545   159.249    167287477.500     0.000     0.000  2750.000      00  109982
     5.000    -6.022   170.389    180155745.000     0.000     0.000  2750.000      00  109982
     5.000    -6.976   192.188    205892280.000     0.000     0.000  2750.000      00  109982
     5.000    -7.929   213.342    231601837.500     0.000     0.000  2750.000      00  109982
     5.000    -8.883   233.886    257338372.500     0.000     0.000  2750.000      00  109982
     5.000    -9.837   253.800    283074907.500     0.000     0.000  2750.000      00  109982
     5.000   -10.874   274.731    311050575.000     0.000     0.000  2750.000      00  109982
     5.000   -11.745   294.367    335402428.500     0.000     0.000  2850.000      00  109982
     5.000   -12.699   315.663    362074837.500     0.000     0.000  2850.000      00  109982
     5.000   -13.653   336.740    388747246.500     0.000     0.000  2850.000      00  109982
     5.000   -15.561   378.237    442092064.500     0.000     0.000  2850.000      00  109982
     5.000   -17.469   418.863    495436882.500     0.000     0.000  2850.000      00  109982
     5.000   -19.377   458.616    548781700.500     0.000     0.000  2850.000      00  109982
     5.000   -21.000   491.745    594158346.000     0.000     0.000  2850.000      00  109982
     5.000   -23.193   538.054    657622669.500     0.000     0.000  2950.000      00  109982
     5.000   -25.100   577.906    712810296.000     0.000     0.000  2950.000      00  109982
     5.000   -27.008   617.444    768026862.000     0.000     0.000  2950.000      00  109982
     5.000   -28.916   656.614    823243428.000     0.000     0.000  2950.000      00  109982
     5.000   -30.824   695.419    878459994.000     0.000     0.000  2950.000      00  109982
     5.000   -32.001   719.176    912521785.500     0.000     0.000  2950.000      00  109982
     5.000   -34.640   744.351    997966046.078     7.946     4.536  3299.971      96    8545
     5.000   -37.502   771.274   1090605749.692     7.941     4.528  3298.899      96    9150
     5.000   -40.364   798.008   1183230178.776     7.939     4.521  3298.521      96   10055
     5.000   -43.225   824.490   1275818982.645     7.949     4.518  3298.964      96   10961
     5.000   -46.087   850.554   1368551668.171     7.956     4.517  3306.765      96   11566
     5.000   -48.949   876.248   1461408689.004     7.965     4.515  3307.335      96   12471
     5.000   -51.811   901.629   1554271118.950     7.957     4.506  3307.464      96   13075
     5.000   -54.673   926.691   1647138091.668     7.963     4.502  3307.683      96   13980
     5.000   -57.535   951.425   1740005561.512     7.955     4.493  3307.466      96   14585
     5.000   -60.396   975.893   1832839923.792     7.958     4.488  3307.587      96   15490
